"estacion","lat","lng","coord","linea","conexiones"
"Acatitla",19.364737,-99.005892,"19.364737,-99.005892","A","Peñón Viejo,Santa Marta"
"Aculco",19.374069,-99.108095,"19.374069,-99.108095","8","Apatlaco,Escuadrón 201"
"Agrícola Oriental",19.404835,-99.069901,"19.404835,-99.069901","A","Pantitlán,Canal de San Juan"
"Allende",19.435514,-99.137406,"19.435514,-99.137406","2","Bellas Artes,Zócalo Tenochtitlan"
"Apatlaco",19.379292,-99.109597,"19.379292,-99.109597","8","Iztacalco,Aculco"
"Aquiles Serdán",19.490423,-99.19487,"19.490423,-99.19487","7","El Rosario,Camarones"
"Aragón",19.451236,-99.095886,"19.451236,-99.095886","5","Eduardo Molina,Oceanía"
"Atlalilco",19.356134,-99.101315,"19.356134,-99.101315","8,12","Escuadrón 201,Iztapalapa,Mexicaltzingo,Culhuacán"
"Auditorio",19.425498,-99.191995,"19.425498,-99.191995","7","Polanco,Constituyentes"
"Autobuses del Norte",19.478973,-99.140668,"19.478973,-99.140668","5","Instituto del Petróleo,La Raza"
"Azcapotzalco",19.490989,-99.186416,"19.490989,-99.186416","6","Tezozómoc,Ferrería"
"Balbuena",19.423231,-99.102302,"19.423231,-99.102302","1","Moctezuma,Boulevard Puerto Aéreo"
"Balderas",19.42744,-99.149036,"19.42744,-99.149036","1,3","Cuauhtémoc,Salto del Agua,Juárez,Niños Héroes"
"Barranca del Muerto",19.360648,-99.190149,"19.360648,-99.190149","7","Mixcoac"
"Bellas Artes",19.436243,-99.141955,"19.436243,-99.141955","2,8","Hidalgo,Allende,Garibaldi,San Juan de Letrán"
"Bondojito",19.46461,-99.111958,"19.46461,-99.111958","4","Talismán,Consulado"
"Bosque de Aragón",19.458115,-99.069192,"19.458115,-99.069192","B","Villa de Aragón,Deportivo Oceanía"
"Boulevard Puerto Aéreo",19.41967,-99.09595,"19.41967,-99.09595","1","Balbuena,Gómez Farías"
"Buenavista",19.446603,-99.153199,"19.446603,-99.153199","B","Guerrero"
"Calle 11",19.3205,-99.0857,"19.3205,-99.0857","12","Lomas Estrella,Periférico Oriente"
"Camarones",19.479135,-99.190063,"19.479135,-99.190063","7","Aquiles Serdán,Refinería"
"Canal del Norte",19.449112,-99.116507,"19.449112,-99.116507","4","Consulado,Morelos"
"Canal de San Juan",19.398683,-99.059365,"19.398683,-99.059365","A","Agrícola Oriental,Tepalcates"
"Candelaria",19.428837,-99.119511,"19.428837,-99.119511","1,4","Morelos,Fray Servando,Merced,San Lázaro"
"Centro Médico",19.406637,-99.155753,"19.406637,-99.155753","3,9","Hospital General,Etiopía/Plaza de la Transparencia,Chilpancingo,Lázaro Cárdenas"
"Cerro de la Estrella",19.356012,-99.085522,"19.356012,-99.085522","8","Iztapalapa,UAM-I"
"Chabacano",19.408438,-99.135754,"19.408438,-99.135754","2,8,9","Obrera,La Viga,Lázaro Cárdenas,Jamaica,San Antonio Abad,Viaducto"
"Chapultepec",19.420783,-99.176288,"19.420783,-99.176288","1","Juanacatlán,Sevilla"
"Chilpancingo",19.4059,-99.1686,"19.4059,-99.1686","9","Patriotismo,Centro Médico"
"Ciudad Azteca",19.534595,-99.0275,"19.534595,-99.0275","B","Plaza Aragón"
"Ciudad Deportiva",19.408357,-99.091229,"19.408357,-99.091229","9","Velódromo,Puebla"
"Colegio Militar",19.449354,-99.172254,"19.449354,-99.172254","2","Popotla,Normal"
"Constitución de 1917",19.34593,-99.063892,"19.34593,-99.063892","8","UAM-I"
"Constituyentes",19.411858,-99.191265,"19.411858,-99.191265","7","Auditorio,Tacubaya"
"Consulado",19.457893,-99.113932,"19.457893,-99.113932","4,5","Bondojito,Canal del Norte,Valle Gómez,Eduardo Molina"
